algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
binaria,100,inicio,25,6,2100,25500
lineal,100,inicio,26,1,1200,0
binaria,100,inicio,26,6,2700,25500
lineal,100,inicio,27,1,1100,0
binaria,100,inicio,27,6,2700,25500
lineal,100,inicio,28,1,1000,0
binaria,100,inicio,28,6,2400,25500
lineal,100,inicio,29,1,1400,0
binaria,100,inicio,29,6,1700,25500
lineal,100,centro,0,51,6300,0
binaria,100,centro,0,6,2200,25500
lineal,100,centro,1,51,5600,0
binaria,100,centro,1,6,1800,25500
lineal,100,centro,2,51,5200,0
binaria,100,centro,2,6,1900,25500
lineal,100,centro,3,51,5400,0
binaria,100,centro,3,6,1700,25500
lineal,100,centro,4,51,5600,0
binaria,100,centro,4,6,1700,25500
lineal,100,centro,5,51,5300,0
binaria,100,centro,5,6,1800,25500
lineal,100,centro,6,51,5200,0
binaria,100,centro,6,6,1700,25500
lineal,100,centro,7,51,5000,0
binaria,100,centro,7,6,1700,25500
lineal,100,centro,8,51,5100,0
binaria,100,centro,8,6,1900,25500
lineal,100,centro,9,51,5200,0
binaria,100,centro,9,6,1800,25500
lineal,100,centro,10,51,5300,0
binaria,100,centro,10,6,1700,25500
lineal,100,centro,11,51,5400,0
binaria,100,centro,11,6,1800,25500
lineal,100,centro,12,51,5000,0
binaria,100,centro,12,6,1700,25500
lineal,100,centro,13,51,5100,0
binaria,100,centro,13,6,1700,25500
lineal,100,centro,14,51,4900,0
binaria,100,centro,14,6,1700,25500
lineal,100,centro,15,51,5000,0
binaria,100,centro,15,6,1600,25500
lineal,100,centro,16,51,5100,0
binaria,100,centro,16,6,1800,25500
lineal,100,centro,17,51,5100,0
binaria,100,centro,17,6,1600,25500
lineal,100,centro,18,51,5100,0
binaria,100,centro,18,6,1700,25500
lineal,100,centro,19,51,5200,0
binaria,100,centro,19,6,1800,25500
lineal,100,centro,20,51,5200,0
binaria,100,centro,20,6,1800,25500
lineal,100,centro,21,51,5100,0
binaria,100,centro,21,6,1800,25500
lineal,100,centro,22,51,5000,0
binaria,100,centro,22,6,1800,25500
lineal,100,centro,23,51,5100,0
binaria,100,centro,23,6,1700,25500
lineal,100,centro,24,51,5300,0
binaria,100,centro,24,6,1800,25500
lineal,100,centro,25,51,5100,0
binaria,100,centro,25,6,1700,25500
lineal,100,centro,26,51,5100,0
binaria,100,centro,26,6,1600,25500
lineal,100,centro,27,51,5200,0
binaria,100,centro,27,6,1700,25500
lineal,100,centro,28,51,5100,0
binaria,100,centro,28,6,1800,25500
lineal,100,centro,29,51,5000,0
binaria,100,centro,29,6,1600,25500
lineal,100,final,0,100,10000,0
binaria,100,final,0,7,2500,25500
lineal,100,final,1,100,9600,0
binaria,100,final,1,7,2000,25500
lineal,100,final,2,100,9300,0
binaria,100,final,2,7,2000,25500
lineal,100,final,3,100,9400,0
binaria,100,final,3,7,1900,25500
lineal,100,final,4,100,10000,0
binaria,100,final,4,7,2000,25500
lineal,100,final,5,100,9800,0
binaria,100,final,5,7,2000,25500
lineal,100,final,6,100,9400,0
binaria,100,final,6,7,1900,25500
lineal,100,final,7,100,9700,0
binaria,100,final,7,7,1900,25500
lineal,100,final,8,100,9500,0
binaria,100,final,8,7,7300,25500
lineal,100,final,9,100,14200,0
binaria,100,final,9,7,2900,25500
lineal,100,final,10,100,12200,0
binaria,100,final,10,7,2900,25500
lineal,100,final,11,100,12700,0
binaria,100,final,11,7,3100,25500
lineal,100,final,12,100,14300,0
binaria,100,final,12,7,2000,25500
lineal,100,final,13,100,9700,0
binaria,100,final,13,7,1900,25500
lineal,100,final,14,100,9700,0
binaria,100,final,14,7,1900,25500
lineal,100,final,15,100,10100,0
binaria,100,final,15,7,2000,25500
lineal,100,final,16,100,9800,0
binaria,100,final,16,7,1900,25500
lineal,100,final,17,100,9700,0
binaria,100,final,17,7,1900,25500
lineal,100,final,18,100,10100,0
binaria,100,final,18,7,1900,25500
lineal,100,final,19,100,9700,0
binaria,100,final,19,7,1900,25500
lineal,100,final,20,100,10100,0
binaria,100,final,20,7,2100,25500
lineal,100,final,21,100,10200,0
binaria,100,final,21,7,1900,25500
lineal,100,final,22,100,9700,0
binaria,100,final,22,7,1900,25500
lineal,100,final,23,100,9700,0
binaria,100,final,23,7,1900,25500
lineal,100,final,24,100,9900,0
binaria,100,final,24,7,1900,25500
lineal,100,final,25,100,9800,0
binaria,100,final,25,7,1900,25500
lineal,100,final,26,100,9900,0
binaria,100,final,26,7,1900,25500
lineal,100,final,27,100,10000,0
binaria,100,final,27,7,1900,25500
lineal,100,final,28,100,9900,0
binaria,100,final,28,7,1900,25500
lineal,100,final,29,100,9700,0
binaria,100,final,29,7,1900,25500
lineal,100,ausente,0,100,10600,0
binaria,100,ausente,0,7,2500,25500
